"NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS","SIMILARITY"
"1","(el.) bro.","1759","OLDER BROTHER",""
"2","(el.) sist.","1758","OLDER SISTER",""
"3","(not)yet","2577","YET","4"
"4","abdomen","1251","BELLY","2"
"5","all","98","ALL","2"
"6","already","2576","ALREADY","2"
"7","and","1577","AND","2"
"8","animal","619","ANIMAL","2"
"9","areca","217","BETELNUT","2"
"10","arrow","977","ARROW","2"
"11","ashes","646","ASH","2"
"12","at","1461","AT","2"
"13","back","1291","BACK","2"
"14","bad","1292","BAD","2"
"15","banana","868","BANANA","2"
"16","bark","1204","BARK","2"
"17","because","1157","BECAUSE","2"
"18","betel chew","","","2"
"19","big","1202","BIG","2"
"20","bird","937","BIRD","2"
"21","bite","1403","BITE","2"
"22","black","163","BLACK","2"
"23","blood","946","BLOOD","2"
"24","blow","175","BLOW (OF WIND)","2"
"25","bone","1394","BONE","2"
"26","branch","1531","BRANCH","2"
"27","breath","870","BREATH","2"
"28","buffalo","934","BUFFALO","2"
"29","burn","2102","BURN","2"
"30","buy","1869","BUY","2"
"31","calf","1989","CALF","2"
"32","chest","1592","CHEST","2"
"33","chicken","1318","CHICKEN","2"
"34","child","2099","CHILD","2"
"35","claw","72","CLAW","2"
"36","clothing","1895","CLOTHES","2"
"37","cloud","1489","CLOUD","2"
"38","coconut","970","COCONUT","2"
"39","cold","1287","COLD","2"
"40","come","1446","COME","2"
"41","cook","1100","COOK (SOMETHING)","2"
"42","cooked rice","1191","COOKED RICE","2"
"43","cord","1218","ROPE","2"
"44","corn","506","MAIZE","2"
"45","count","1420","COUNT","2"
"46","cow","1007","COW","2"
"47","crossbow","3193","CROSSBOW","2"
"48","cut","1432","CUT","2"
"49","dance","1879","DANCE","2"
"50","day","1225","DAY (NOT NIGHT)","2"
"51","deer","1936","DEER","2"
"52","die","1494","DIE","2"
"53","different","2504","DIFFERENT","2"
"54","dig","1418","DIG","2"
"55","dirty","1230","DIRTY","2"
"56","dog","2009","DOG","2"
"57","drink","1401","DRINK","2"
"58","drum","908","DRUM","2"
"59","drunk","1463","DRUNK","2"
"60","dry","1398","DRY","2"
"61","duck","1360","DUCK","2"
"62","dull","379","BLUNT","2"
"63","dust","2","DUST","2"
"64","ear","1247","EAR","2"
"65","earth","1228","EARTH (SOIL)","2"
"66","eat","1336","EAT","2"
"67","egg","744","EGG","2"
"68","eight","1705","EIGHT","2"
"69","elephant","1290","ELEPHANT","2"
"70","elephant tusk","2495","ELEPHANT TUSK","2"
"71","enter","749","ENTER","2"
"72","eye","1248","EYE","2"
"73","fall","1280","FALL","2"
"74","far","1406","FAR","2"
"75","fat","323","FAT (ORGANIC SUBSTANCE)","2"
"76","father","1217","FATHER","2"
"77","fear","1419","FEAR (BE AFRAID)","2"
"78","feather","1201","FEATHER","2"
"79","few","1242","FEW","2"
"80","fight","1423","FIGHT","2"
"81","fire","221","FIRE","2"
"82","firewood","10","FIREWOOD","2"
"83","fish","227","FISH","2"
"84","five","493","FIVE","2"
"85","flesh","2259","FLESH","2"
"86","float","1574","FLOAT","2"
"87","flow","2003","FLOW","2"
"88","flower","239","FLOWER","2"
"89","fly","1441","FLY (MOVE THROUGH AIR)","2"
"90","foot","1301","FOOT","2"
"91","forest","420","FOREST","2"
"92","four","1500","FOUR","2"
"93","freeze","1431","FREEZE","2"
"94","fruit","1507","FRUIT","2"
"95","full","1429","FULL","2"
"96","give","1447","GIVE","2"
"97","gold","1369","GOLD","2"
"98","gong","2502","GONG","2"
"99","good","1035","GOOD","2"
"100","grass","606","GRASS","2"
"101","green","1425","GREEN","2"
"102","hail","609","HAIL","2"
"103","hair","1040","HAIR","2"
"104","hand","1277","HAND","2"
"105","he","1211","HE","2"
"106","head","1256","HEAD","2"
"107","hear","1408","HEAR","2"
"108","heart","1223","HEART","2"
"109","heavy","1210","HEAVY","2"
"110","here","136","HERE","2"
"111","hit","1433","HIT","2"
"112","horn","1393","HORN (ANATOMY)","2"
"113","hot","1286","HOT","2"
"114","house","1252","HOUSE","2"
"115","how","1239","HOW","2"
"116","hundred","1634","HUNDRED","2"
"117","hunt","1435","HUNT","2"
"118","husband","1200","HUSBAND","2"
"119","I","1209","I","2"
"120","if","1459","IF","2"
"121","in","1460","IN","2"
"122","intestines","1991","INTESTINES","2"
"123","kill","1417","KILL","2"
"124","knee","1371","KNEE","2"
"125","know","1410","KNOW (SOMETHING)","2"
"126","lake","624","LAKE","2"
"127","laugh","1355","LAUGH","2"
"128","launder","2503","LAUNDER","2"
"129","leaf","628","LEAF","2"
"130","leftside","244","LEFT","2"
"131","leg","1297","LEG","2"
"132","lie","1411","LIE (REST)","2"
"133","live","1422","BE ALIVE","2"
"134","liver","1224","LIVER","2"
"135","loincloth","1965","LOINCLOTH","2"
"136","long","1203","LONG","2"
"137","louse","1392","LOUSE","2"
"138","man","1554","MAN","2"
"139","many","1198","MANY","2"
"140","mist","249","FOG","2"
"141","monkey","1350","MONKEY","2"
"142","moon","1313","MOON","2"
"143","mortar","224","MORTAR CRUSHER","2"
"144","mosquito","1509","MOSQUITO","2"
"145","mother","1216","MOTHER","2"
"146","mountain","639","MOUNTAIN","2"
"147","mouth","674","MOUTH","2"
"148","mud","640","MUD","2"
"149","nail","1896","FINGERNAIL OR TOENAIL","2"
"150","name","1405","NAME","2"
"151","narrow","1267","NARROW","2"
"152","near","1942","NEAR","2"
"153","neck","1333","NECK","2"
"154","new","1231","NEW","2"
"155","night","1233","NIGHT","2"
"156","nine","1483","NINE","2"
"157","nose","1221","NOSE","2"
"158","not","1240","NOT","2"
"159","old-aged","2112","OLD (AGED)","2"
"160","one","1493","ONE","2"
"161","paddy rice","2026","RICE PLANT","2"
"162","palm","1181","PALM TREE","2"
"163","papaya","2445","PAPAYA","2"
"164","person","683","PERSON","2"
"165","pestle","225","PESTLE","2"
"166","pig","1337","PIG","2"
"167","play","1413","PLAY","2"
"168","pounded rice","926","RICE","2"
"169","pull","1455","PULL","2"
"170","push","1452","PUSH","2"
"171","rabbit","1136","RABBIT","2"
"172","rain","2108","RAINING OR RAIN","2"
"173","rainbow","1733","RAINBOW","2"
"174","rat","1490","RAT","2"
"175","rattan","2497","RATTAN","2"
"176","red","156","RED","2"
"177","red pepper","919","CHILI PEPPER","2"
"178","return","581","COME BACK","2"
"179","right","1725","CORRECT (RIGHT)","2"
"180","rightside","1019","RIGHT","2"
"181","river","666","RIVER","2"
"182","road, path","2457","PATH OR ROAD","2"
"183","roof","769","ROOF","2"
"184","root","670","ROOT","2"
"185","rotten","1728","ROTTEN","2"
"186","round","1395","ROUND","2"
"187","rub","1449","RUB","2"
"188","salt","1274","SALT","2"
"189","same","200","SAME","2"
"190","sand","671","SAND","2"
"191","scorpion","1538","SCORPION","2"
"192","scratch","1436","SCRATCH","2"
"193","sea","1474","SEA","2"
"194","see","1409","SEE","2"
"195","seed","714","SEED","2"
"196","seven","1704","SEVEN","2"
"197","sew","1457","SEW","2"
"198","sharp","1396","SHARP","2"
"199","shoot","1172","SHOOT","2"
"200","short","1645","SHORT","2"
"201","shoulder","1482","SHOULDER","2"
"202","sick","1847","SICK","2"
"203","silver","759","SILVER","2"
"204","sing","1261","SING","2"
"205","sit","1416","SIT","2"
"206","six","1703","SIX","2"
"207","skin","763","SKIN","2"
"208","sky","1732","SKY","2"
"209","sleep","1585","SLEEP","2"
"210","small","1246","SMALL","2"
"211","smell","2124","SMELL","2"
"212","smoke","778","SMOKE (EXHAUST)","2"
"213","smooth","1234","SMOOTH","2"
"214","snake","730","SNAKE","2"
"215","snow","784","SNOW","2"
"216","some","1241","SOME","2"
"217","speak","1623","SPEAK","2"
"218","spear","945","SPEAR","2"
"219","spider","843","SPIDER","2"
"220","spit","1440","SPIT","2"
"221","split","1437","SPLIT","2"
"222","squeeze","1414","SQUEEZE","2"
"223","stab","1434","STAB","2"
"224","stand","1442","STAND","2"
"225","star","1430","STAR","2"
"226","stone","857","STONE","2"
"227","straight","1404","STRAIGHT","2"
"228","suck","1421","SUCK","2"
"229","sun","1343","SUN","2"
"230","swell","1573","SWELL","2"
"231","swim","1439","SWIM","2"
"232","tail","1220","TAIL","2"
"233","take","1749","TAKE","2"
"234","tall","711","TALL","2"
"235","ten","1515","TEN","2"
"236","that","78","THAT","2"
"237","there","1937","THERE","2"
"238","they","817","THEY","2"
"239","thick","1244","THICK","2"
"240","thigh","800","THIGH","2"
"241","thin","2308","THIN","2"
"242","think","1415","THINK (REFLECT)","2"
"243","this","1214","THIS","2"
"244","three","492","THREE","2"
"245","throw","1456","THROW","2"
"246","tie","1917","TIE","2"
"247","tiger","846","TIGER","2"
"248","tongue","1205","TONGUE","2"
"249","tooth","1380","TOOTH","2"
"250","tree","906","TREE","2"
"251","turn","1588","TURN","2"
"252","twenty","1710","TWENTY","2"
"253","two","1498","TWO","2"
"254","vomit","1278","VOMIT","2"
"255","walk","1443","WALK","2"
"256","want","1784","WANT","2"
"257","wash","1453","WASH","2"
"258","water","948","WATER","2"
"259","we","1212","WE","2"
"260","weep","1839","CRY","2"
"261","wet","1726","WET","2"
"262","what?","1236","WHAT","2"
"263","when?","1238","WHEN","2"
"264","where?","1237","WHERE","2"
"265","white","1335","WHITE","2"
"266","who?","1235","WHO","2"
"267","wide","1243","WIDE","2"
"268","wife","1199","WIFE","2"
"269","wind","960","WIND","2"
"270","wing","1257","WING","2"
"271","wipe","1454","WIPE","2"
"272","with","1340","WITH","2"
"273","woman","962","WOMAN","2"
"274","work","1086","WORK (ACTIVITY)","2"
"275","worm","1219","WORM","2"
"276","year","1226","YEAR","2"
"277","yellow","1424","YELLOW","2"
"278","yngr.sibl.","427","YOUNGER SIBLING",""
"279","you (pl)","1213","YOU","2"
"280","you (sg)","1215","THOU","2"
