Grapheme	IPA
$	NULL
.	+
0	+
M	m
^	NULL
^M	m
^a	a
^a$	a
^aˀ	a ʔ
^aː	aː
^aːⁱ	aːⁱ/aːi
^aːⁱ$	aːⁱ/aːi
^a̯	a
^aⁱ	aⁱ/ai
^aⁱ$	aⁱ/ai
^b	b
^c	c
^d	d
^e	e
^eⁱ	eⁱ/ei
^eⁱ$	eⁱ/ei
^f	f
^h	h
^i	i
^j	j
^jᵊ	j ᵊ/ə
^k	k
^kɣ	kˠ
^kɣʰ	kˠʰ
^kʰ	kʰ
^kʰotšʰi	kʰ o tʃʰ i
^k̯	k̯/k
^k̯ʰ	k̯ʰ/kʰ
^kᵊ	k ᵊ/ə
^kᵊh	k ᵊ/ə h
^kᵊsʰ	k ᵊ/ə b sʰ
^l	l
^m	m
^ms	m s
^msʰ	m sʰ
^m̩	m̩
^m̩s	m s
^m̩sʰ	m̩ sʰ
^mᵊ	m ᵊ/ə
^mᵊh	m ᵊ/ə h
^mᵊs	m ᵊ/ə s
^mᵊsʰ	m ᵊ/ə sʰ
^n	n
^nh	n̥
^n̩	n̩
^n̩s	n̩ s
^nᵊ	n ᵊ/ə
^o	o
^oː	oː
^p	p
^pjʰ	pʲʰ
^pɣh	pˠʰ
^pʰ	pʰ
^pᵊ	p ᵊ/ə
^pᵊsʰ	p ᵊ/ə sʰ
^r	r
^s	s
^sʰ	sʰ
^sʰaʔk̯ʰi	sʰ a ʔk̯ʰ/ˀkʰ i
^sʰaˀtšʰi	sʰ a ˀtʃʰ i
^sʰᶺ$	sʰ ᶺ/ʌ
^s̆	ʃ
^sᵊ	s ᵊ/ə
^t	t
^ts	ts
^ts̆ʰ	tʃʰ
^tšʰ	tʃʰ
^tʰ	tʰ
^tᵊ	t ᵊ/ə
^tᵊh	t ᵊ/ə h
^u	u
^uːⁱ$	uːⁱ/uːi
^uⁱ	uⁱ/ui
^uⁱ$	uⁱ/ui
^v	v
^w	w
^x	x
^y	y
^y$	y
^à$	à/a
^ã	ã
^í	í/i
^ï	ï/ɨ
^ïː	ïː/ɨː
^ïⁱ$	ïⁱ/ɨi
^ú	ú/u
^úⁱ$	úⁱ/ui
^ĩ	ĩ
^ŋ	ŋ
^ŋp	ŋ̍ p
^ŋpʰi	ŋ̍ pʰ i
^ŋ̩	ŋ̍
^ŋ̩h	ŋ̊
^ŋ̩s	ŋ̍ s
^ŋ̩sʰ	ŋ̍ sʰ
^š	ʃ
^šʰ	ʃʰ
^ɓ	ɓ
^ɓəiˀa	ɓ əi ˀ/ʔ a
^ɔˀ$	ɔ ʔ
^ɔː	ɔː
^ɔ́ː	ɔ́ː/ɔː
^ɗ	ɗ
^ə	ə
^ə$	ə
^ɛᵘ	ɛᵘ/ɛu
^ɛⁱ	ɛⁱ/ɛi
^ɣ	ɣ
^ɬ	ɬ
^ɴ	ɴ
^ɴ̹	ɴ
^ʔ	ʔ
^ʔk	ˀk
^ʔkɣ	ˀkˠ
^ʔkɣʰ	ˀkˠʰ
^ʔkʰ	ˀkʰ
^ʔk̯	ʔk̯/ˀk
^ʔp	ˀp
^ʔpi	ˀp i
^ʔpɣh	ˀpˠʰ
^ʔpɣʰ	ˀpˠʰ
^ʔpʰi	ˀpʰ i
^ʔpʰəⁱŋva	ˀpʰ əⁱ/əi ŋ v a
^ʔs	ˀs
^ʔsʰ	ˀsʰ
^ʔt	ˀt
^ʔtʰ	ˀtʰ
^ʔɓ	ˀɓ
^ˀk	ˀk
^ˀkɣʰ	ˀkˠʰ
^ˀkʰ	ˀkʰ
^ˀp	ˀp
^ˀpʰ	ˀpʰ
^ˀsʰ	ˀsʰ
^ˀt	ˀt
^ˀtʰ	ˀtʰ
^ḁ	ḁ/a
^ḁh	ḁ/a h
^ḁs	ḁ/a s
^ḁsʰ	ḁ/a sʰ
_	+
_́$	NULL
_̂k	k
_̩	+
a	a
a$	a
a.p	a + p
ai	ai
aˀ	a ʔ
aˀ$	aˀ
aː	aː
aː$	aː
aːi	aːi
aːu	aːu
aːᵘ	aːu
aːᵘ$	aːᵘ/aːu
aːⁱ	aːⁱ/aːi
aːⁱ$	aːⁱ/aːi
aːⁱˀ$	aːⁱ/aːi ʔ
aᵘ	aᵘ/au
aᵘ$	aᵘ/au
aᵘˀ$	aᵘ/au ʔ
aⁱ	aⁱ/ai
aⁱ$	aⁱ/ai
aⁱˀ	aⁱ/ai ʔ
aⁱˀ$	aⁱ/ai ʔ
b	b
d	d
e	e
e$	e
ei	ei
eː	eː
eːⁱ	eːⁱ/eːi
eːⁱ$	eːⁱ/eːi
eᵘ	eᵘ/eu
eᵘ$	eᵘ/eu
eⁱ	eⁱ/ei
eⁱ$	eⁱ/ei
eⁱˀ	eⁱ/ei ʔ
eⁱˀ$	eⁱ/ei ʔ
f	f
h	h
i	i
i$	i
ia	i/j a
ilʔ	i lʔ/l
iˀ	i ʔ
iˀ$	i ʔ
iː	iː
iː$	iː
iːa	iːa
iːⁱ$	iːⁱ/iː
i̥	i̥/i
iᵋ	iᵋ/iɛ
iᵋ$	iᵋ/iɛ
iᵘ	iᵘ/iu
j	j
k	k
k$	k
k.kʰ	k + kʰ
k.t	k + t
kei	k ei
ks	k s
kɣ	kˠ
kɣʰ	kˠʰ
kʰ	kʰ
k̯	k
k̯ʰ	kʰ
kᵊ	k ᵊ/ə
kᵊs	k ᵊ/ə + s
l	l
l$	l
lsʰ	l sʰ
lʰ	lʰ
m	m
m$	m
m.m	m + m
mh	m̥
ms	m s
msʰ	m sʰ
m̩	m̩
m̩s	m̩ s
mᵊ	m ᵊ/ə
m ̩	m̩
mⁱ	m ⁱ/i
n	n
n$	n
n.k	n + k
n.kʰ	n + kʰ
nh	n̥
nn	nː
ns	n s
nsʰ	n sʰ
ns̆	n ʃ
nəø	n œ
nɛi	n ɛi
nⁱ	n ⁱ/i
o	o
o$	o
ou	ou
oˀ	o ʔ
oˀ$	o ʔ
oː	oː
oᵘ	oᵘ/ou
oᵘ$	oᵘ/ou
oⁱ	oⁱ/oi
oⁱ$	oⁱ/oi
p	p
p$	p
p.p	p + p
pjʰ	pʲʰ
pɣh	pˠʰ
pʰ	pʰ
pᵊ	p ᵊ/ə
r	r
s	s
sʰ	sʰ
s̆	ʃ
s̆ʰ	ʃʰ
sᵊ	s ᵊ/ə
t	t
t$	t
t.t	t + t
ts	ts
ts̆	tʃ
ts̆ʰ	tʃʰ
tu ́ⁱ	t úⁱ/ui
tïⁱaʔjəᵘ	t ïⁱ/ɨ a + ʔ j əᵘ/əu
tš	tʃ
tšʰ	tʃʰ i
təœ	t əœ
tʰ	tʰ
tᵊ	t ᵊ/ə
tⁱ	t ⁱ/i
u	u
u ́ⁱ	úⁱ/ui
u$	u
u_́ⁱ	úⁱ/ui
u_́ⁱ|	úⁱ/ui
u_́ⁱ|$	úⁱ/ui
ui	ui
uˀ	u ʔ
uˀ$	u ʔ
uː	uː
uːi	uːi
uːⁱ	uːⁱ/uːi
uːⁱ$	uːⁱ/uːi
u̥	u̥/u
uⁱ	uⁱ/ui
uⁱ$	uⁱ/ui
uⁱˀ$	uⁱ/ui ʔ
v	v
w	w
x	x
y	y
y$	y
à	à/a
à$	à/a
á	á/a
á$	á/a
áˀ	á/a ʔ
áː	áː/aː
áː$	áː/aː
áːⁱ	áːⁱ/aːi
áːⁱ$	áːⁱ/aːi
áᵘ	áᵘ/au
áⁱ	áⁱ/ai
áⁱ$	áⁱ/ai
áⁱˀ$	áⁱ/ai ʔ
ã	ã
ã$	ã
è	è/e
é	é/e
é$	é/e
éː	éː/eː
éⁱ	éⁱ/ei
éⁱ$	éⁱ/ei
éⁱˀ	éⁱ/ei ʔ
í	í/i
í$	í/i
íː	íː/ɨː
î	î/ɨ
ï	ï/ɨ
ï$	ï/ɨ
ïː	ïː/ɨː
ïːⁱ	ïːⁱ/ɨːi
ïːⁱ$	ïːⁱ/ɨːi
ïⁱ	ïⁱ/ɨi
ïⁱ$	ïⁱ/ɨi
ïⁱh	ïⁱ/ɨi h
ïⁱsʰ	ɨi sʰ
ïⁱˀ$	ɨi ʔ
ó	ó/o
ó$	ó/o
óˀ$	ó/o ʔ
óⁱ$	óⁱ/oi
õ	õ
ø	ø
ø$	ø
ùˀ$	ù/u ʔ
ú	ú/u
ú$	ú/u
úː	úː/uː
úⁱ	úⁱ/ui
úⁱ$	úⁱ/ui
ý$	ý/y
ĩ	ĩ
ı̈ⁱ	ïⁱ/ɨi
ŋ	ŋ
ŋ$	ŋ
ŋh	ŋ̊
ŋsʰ	ŋ sʰ
ŋ̩h	ŋ̊
ŋ ̩◦	ŋ +
œ	œ
œ$	œ
œ̀	œ̀/œ
œ̃	œ̃
š	ʃ
šʰ	ʃʰ
šⁱ$	ʃ ⁱ/i
ũ	ũ
ɓ	ɓ
ɔ	ɔ
ɔ$	ɔ
ɔi	ɔi
ɔˀ	ɔ ʔ
ɔˀ$	ɔ ʔ
ɔː	ɔː
ɔː$	ɔː
ɔːi	ɔːi
ɔːⁱ	ɔːⁱ/ɔːi
ɔːⁱ$	ɔːⁱ/ɔːi
ɔ̀$	ɔ̀/ɔ
ɔ̀ːⁱ$	ɔ̀ːⁱ/ɔːi
ɔ́	ɔ́/ɔ
ɔ́$	ɔ/ɔ
ɔ́ː	ɔ́ː/ɔː
ɔ́ːⁱ	ɔ́ːⁱ/ɔːi
ɔ̃	ɔ̃
ɔ̃$	ɔ̃
ɔᵘ	ɔᵘ/ɔu
ɔᵘ$	ɔᵘ/ɔu
ɔᶺ	ɔᶺ/ɔʌ
ɔᶺ$	ɔᶺ/ɔʌ
ɔⁱ	ɔⁱ/ɔi
ɔⁱ$	ɔⁱ/ɔi
ɔⁱˀ$	ɔⁱ/ɔi ʔ
ɗ	ɗ
ə	ə
ə$	ə
əi	əi
əø	əø
əœ	əœ
əə	əː
əː	əː
əːiei	əːi + ei
əːⁱ	əːⁱ/əːi
əːⁱ$	əːⁱ/əːi
ə́	ə́/ə
ə́ⁱ$	ə́ⁱ/əi
ə̃	ə̃
əᵘ	əᵘ/əu
əᵘ$	əᵘ/əu
əⁱ	əⁱ/əi
əⁱ$	əⁱ/əi
ɛ	ɛ
ɛ$	ɛ
ɛi	ɛi
ɛˀ$	ɛ ʔ
ɛː	ɛː
ɛ́	ɛ́/ɛ
ɛ́$	ɛ́/ɛ
ɛ́ː	ɛ́ː/ɛː
ɛ́ᶺ	ɛ́ᶺ/ɛʌ
ɛ̃	ɛ̃
ɛᵘ	ɛᵘ/ɛu
ɛᵘ$	ɛᵘ/ɛu
ɛᶺ	ɛᶺ/ɛʌ
ɛᶺ$	ɛᶺ/ɛʌ
ɛⁱ	ɛⁱ/ɛi
ɛⁱ$	ɛⁱ/ɛi
ɜ	ɜ
ɡ$	g
ɣ	ɣ
ɣh	ɣʰ
ɣʰ	ɣʰ
ɨ	ɨ
ɨ$	ɨ
ɨia	ɨ + i/j a
ɨⁱ$	ɨⁱ/ɨi
ɬ	ɬ
ɬʰ	ɬʰ
ɱ	ɱ
ɴ	ɴ
ɴ̹	ɴ̹/ɴ
ɶ	ɶ
ɶ$	ɶ
ɹ	ɹ
ɹʰ	ɹʰ
ʌ	ʌ
ʌ$	ʌ
ʌ́$	ʌ́/ʌ
ʌ́ː$	ʌ́ː/ʌː
ʔ	ʔ
ʔ$	ʔ
ʔh	ʔ h
ʔk	ˀk
ʔkɣ	ˀkˠ
ʔkɣʰ	ˀkˠʰ
ʔkʰ	ˀkʰ
ʔp	ˀp
ʔpɣh	ˀpˠʰ
ʔpɣʰ	ˀpˠʰ
ʔpʰ	ˀpʰ
ʔs	ˀs
ʔsʰ	ˀsʰ
ʔt	ˀt
ʔtʰ	ˀtʰ
ʔɓ	ˀɓ
ʔəːiei	ʔ əː i/j ei
ˀ	ʔ
ˀkɣʰ	ˀkˠʰ
ˀs	ˀs
ˀtšʰ	ˀtʃʰ
ˀɓ	ˀɓ
ᵊ	ᵊ/ə
ḁ	ḁ/a
ḁh	ḁ/a h
ḯ	ḯ/ɨ
ẽ	ẽ
ẽᶺ	ẽᶺ/ẽʌ
ẽⁱ	ẽⁱ/ẽi
ⁱ	ⁱ/i
◦	+
◦ˀ	+ ʔ
